brand,name,price,year,damage,last_seen
opel,Opel Meriva 1.Hand TÜV 3.2018,2900,2018,,2016-03-31 01:16:33
opel,Opel Kadett E CC,1600,1991,,2016-04-07 03:46:09
opel,Suche Opel corsa a zu verschenken,0,1990,,2016-03-27 17:43:34
opel,Opel signum 1.9 cdti,4700,2005,,2016-04-04 04:17:32
opel,auto opel astra,550,1999,ja,2016-04-01 23:17:27
opel,Opel Astra 1.4 mit vielen Extras!!!!,10900,2017,,2016-04-06 23:15:52
opel,Opel astra g coupe 1.8 liter benziner,1200,2001,,2016-04-07 08:46:07
opel,Opel Astra F Cabrio,150,2016,ja,2016-04-05 03:45:22
opel,Senator A2  3 0E  180PS  CD Ausstattung.,1222,1984,,2016-04-06 14:44:57
opel,unfall Opel insignia voll Ausstattung  TÜV neu  ideal fuer Bastler,8390,2009,,2016-03-30 07:44:59
opel,OPEL COMBO 2008  TÜV Neu bis 02.2018  DIESEL   LKW ZULLASUNG,4290,2008,,2016-04-05 22:45:32
opel,Opel Astra Twin Top 2.0 Turbo,8599,2006,,2016-04-06 04:15:35
opel,Opel Corsa TÜV bis Ende 2016,350,1998,,2016-04-03 08:53:37
opel,Motorschaden steuerrichmen gerissen,400,2000,ja,2016-04-05 12:45:13
opel,Opel Combo 1.7 DTI   Kasten   Lkw Zulassung   Euro3,1100,2003,,2016-03-24 11:46:38
opel,Opel Corsa 1.0 TÜV bis 01/17,300,2000,,2016-04-06 09:15:51
opel,Opel meriva 1.6 16 v lpg  z16xe no OPC,0,2004,ja,2016-03-12 23:47:10
opel,OPEL astra G TÜV NEU,1200,2018,,2016-04-06 14:45:26
opel,Opel Astra J Design Edition 1.7 CDTI ecoflex,11000,2012,,2016-04-05 11:56:32